case_id,test_type,purpose,suburb,state,postcode,tailgate,preselect_sku_mode,sku_1,qty_1,sku_2,qty_2,total_weight_kg,total_cubic_m3,expected_rank_count,fuel_levy_date,validation_status,source_page,source_reference,notes
CASE_001,Volumetric interstate / zone-rate lookup,"Validate VIC destination, volumetric SKU, interstate carrier ranking, Tailgate NO.",CAROLINE SPRINGS,VIC,3023,NO,YES,SMC30CABLED,1,,,2196.5,14.43,3,22/06/2026,validated_from_excel_screenshot,User latest screenshots 0630,manual_app_excel_comparison,"Corrected from latest Excel/app screenshots: postcode 3023; KTI 647.17, TEAMEX 854.13, TFMX 1020.36."
CASE_002,Base consolidation / SA ranking,"Validate base two-SKU consolidation, SA destination, total weight/cubic, ranking without tailgate.",BLAIR ATHOL,SA,5084,NO,YES,20772,4,20985,2,1035.0,0.912,4,08/06/2026,validated_from_excel_screenshot,PDF p.1 bottom / p.2,pp.pdf,Duplicate screenshot on p.2 confirms same result.
CASE_003,Heavy SKU accepted / SM460-A,"Validate heavy SKU accepted by carriers and ranking for SM460-A × 4, Tailgate NO.",BLAIR ATHOL,SA,5084,NO,YES,SM460-A,4,,,8930.0,4.351,4,22/06/2026,validated_from_excel_screenshot,PDF p.3,pp.pdf,This is SM460-A; do not merge with SM460 cases.
CASE_004,Volumetric + Tailgate / multiple lines,Validate high cubic shipment with Tailgate YES and multiple lines of same SKU.,BLAIR ATHOL,SA,5084,YES,YES,SMC30CABLED,1,SMC30CABLED,4,10982.5,28.86,4,22/06/2026,validated_from_excel_screenshot,PDF p.4,pp.pdf,Two lines: qty 1 and qty 4.
CASE_005,Tailgate comparison / base two SKUs,Validate effect of Tailgate YES against CASE_002 same products/location.,BLAIR ATHOL,SA,5084,YES,YES,20772,4,20985,2,1035.0,0.912,4,22/06/2026,validated_from_excel_screenshot,PDF p.5,pp.pdf,Same input as CASE_002 but Tailgate YES and newer fuel date.
CASE_006,Heavy SKU + Tailgate / SM460,Validate heavy SM460 × 4 with Tailgate YES.,BLAIR ATHOL,SA,5084,YES,YES,SM460,4,,,8930.0,4.782,4,22/06/2026,validated_from_excel_screenshot,PDF p.6,pp.pdf,"Observed SKU is SM460, not SM460-A."
CASE_007,Volumetric interstate + Tailgate,Validate VIC volumetric SKU with Tailgate YES against CASE_001.,CAROLINE SPRINGS,VIC,3020,YES,YES,SMC30CABLED,1,,,2196.5,14.43,3,22/06/2026,validated_from_excel_screenshot,PDF p.7,pp.pdf,Only 3 ranking rows visible.
CASE_008,Minimum/simple single SKU,"Validate small single SKU 20772 × 1, minimum/base charge and ranking.",BLAIR ATHOL,SA,5084,NO,YES,20772,1,,,102.5,0.336,5,22/06/2026,validated_from_excel_screenshot,PDF p.8,pp.pdf,Useful simple baseline with 5 visible rankings.
CASE_009,Minimum/simple second SKU,"Validate single SKU 20985 × 1, different weight/cubic from CASE_008.",BLAIR ATHOL,SA,5084,NO,YES,20985,1,,,312.5,0.576,4,22/06/2026,validated_from_excel_screenshot,PDF p.9,pp.pdf,4 visible rankings.
CASE_010,Small two-SKU consolidation,Validate two SKUs with quantity 1 each and combined totals.,BLAIR ATHOL,SA,5084,NO,YES,20772,1,20985,1,415.0,0.912,4,22/06/2026,validated_from_excel_screenshot,PDF p.10,pp.pdf,Base consolidation small quantities.
CASE_011,Small two-SKU consolidation + Tailgate,Validate Tailgate YES on small two-SKU consolidation against CASE_010.,BLAIR ATHOL,SA,5084,YES,YES,20772,1,20985,1,415.0,0.912,4,22/06/2026,validated_from_excel_screenshot,PDF p.11,pp.pdf,Same products as CASE_010 with Tailgate YES.
